793,496,169.20
794,527,179.77
795,511,174.32
796,475,162.03
797,496,169.20
798,469,159.99
799,511,174.32
800,511,174.32
801,511,174.32
802,525,179.09
803,471,160.67
804,542,184.89
805,458,156.24
806,474,161.69
807,502,171.25
808,510,173.97
809,498,169.88
810,495,168.86
811,505,172.27
812,551,187.96
813,527,179.77
814,476,162.38
815,433,147.71
816,506,172.61
817,528,180.11
818,528,180.11
819,494,168.52
820,451,153.85
821,534,182.16
822,541,184.55
823,499,170.22
824,548,186.94
825,528,180.11
826,508,173.29
827,511,174.32
828,497,169.54
829,471,160.67
830,526,179.43
831,509,173.63
832,544,185.57
833,522,178.07
834,459,156.58
835,525,179.09
836,538,183.53
837,522,178.07
838,541,184.55
839,537,183.18
840,524,178.75
841,460,156.92
842,531,181.14
843,478,163.06
844,490,167.15
845,536,182.84
846,499,170.22
847,494,168.52
848,496,169.20
849,511,174.32
850,524,178.75
851,505,172.27
852,511,174.32
853,527,179.77
854,544,185.57
855,494,168.52
856,499,170.22
857,496,169.20
858,496,169.20
859,539,183.87
860,509,173.63
861,547,186.60
862,507,172.95
863,483,164.76
864,474,161.69
865,528,180.11
866,539,183.87
867,485,165.45
868,479,163.40
869,510,173.97
870,507,172.95
871,510,173.97
872,526,179.43
873,496,169.20
874,480,163.74
875,556,189.67
876,549,187.28
877,498,169.88
878,534,182.16
879,477,162.72
880,506,172.61
881,550,187.62
882,546,186.25
883,506,172.61
884,511,174.32
885,484,165.10
886,544,185.57
887,539,183.87
888,522,178.07
889,496,169.20
890,496,169.20
891,492,167.83
892,550,187.62
893,507,172.95
894,494,168.52
895,511,174.32
896,511,174.32
897,535,182.50
898,511,174.32
899,530,180.80
900,491,167.49
901,529,180.46
902,529,180.46
903,496,169.20
904,510,173.97
905,479,163.40
906,556,189.67
907,560,191.03
908,464,158.28
909,528,180.11
910,540,184.21
911,497,169.54
912,511,174.32
913,511,174.32
914,558,190.35
915,511,174.32
916,528,180.11
917,566,193.08
918,549,187.28
919,510,173.97
920,532,181.48
921,560,191.03
922,509,173.63
923,565,192.74
924,544,185.57
925,551,187.96
926,558,190.35
927,562,191.71
928,501,170.90
929,486,165.79
930,550,187.62
931,551,187.96
932,593,202.29
933,543,185.23
934,496,169.20
935,546,186.25
936,523,178.41
937,526,179.43
938,530,180.80
939,528,180.11
940,551,187.96
941,534,182.16
942,555,189.32
943,534,182.16
944,576,196.49
945,489,166.81
946,527,179.77
947,470,160.33
948,528,180.11
949,470,160.33
950,476,162.38
951,523,178.41
952,505,172.27
953,563,192.05
954,542,184.89
955,478,163.06
956,528,180.11
957,560,191.03
958,510,173.97
959,538,183.53
960,537,183.18
961,528,180.11
962,506,172.61
963,511,174.32
964,528,180.11
965,528,180.11
966,498,169.88
967,575,196.15
968,557,190.01
969,524,178.75
970,588,200.58
971,544,185.57
972,494,168.52
973,573,195.47
974,502,171.25
975,611,208.43
976,546,186.25
977,532,181.48
978,559,190.69
979,506,172.61
980,510,173.97
981,528,180.11
982,559,190.69
983,576,196.49
984,511,174.32
985,496,169.20
986,537,183.18
987,552,188.30
988,560,191.03
989,523,178.41
990,566,193.08
991,560,191.03
992,549,187.28
993,542,184.89
994,566,193.08
995,570,194.44
996,499,170.22
997,535,182.50
998,499,170.22
999,496,169.20
1000,522,178.07
1001,545,185.91
1002,581,198.19
1003,558,190.35
1004,496,169.20
1005,528,180.11
1006,511,174.32
1007,569,194.10
1008,542,184.89
1009,511,174.32
1010,560,191.03
1011,571,194.78
1012,542,184.89
1013,527,179.77
1014,533,181.82
1015,575,196.15
1016,528,180.11
1017,550,187.62
1018,576,196.49
1019,608,207.40
1020,544,185.57
1021,529,180.46
1022,541,184.55
1023,558,190.35
1024,566,193.08
1025,553,188.64
1026,555,189.32
1027,528,180.11
1028,508,173.29
1029,546,186.25
1030,551,187.96
1031,574,195.81
1032,544,185.57
1033,570,194.44
1034,588,200.58
1035,594,202.63
1036,578,197.17
1037,565,192.74
1038,541,184.55
1039,560,191.03
1040,529,180.46
1041,572,195.12
1042,583,198.88
1043,522,178.07
1044,574,195.81
1045,583,198.88
1046,545,185.91
1047,527,179.77
1048,586,199.90
1049,545,185.91
1050,563,192.05
1051,528,180.11
1052,576,196.49
1053,592,201.95
1054,560,191.03
1055,546,186.25
1056,538,183.53
1057,544,185.57
1058,528,180.11
1059,560,191.03
1060,530,180.80
1061,561,191.37
1062,544,185.57
1063,581,198.19
1064,551,187.96
1065,542,184.89
1066,558,190.35
1067,560,191.03
1068,537,183.18
1069,563,192.05
1070,561,191.37
1071,511,174.32
1072,586,199.90
1073,556,189.67
1074,576,196.49
1075,543,185.23
1076,587,200.24
1077,554,188.98
1078,551,187.96
1079,558,190.35
1080,528,180.11
